department,urban.rural,treatment,ID_IE,HM_Sex,HM_Age,Year_HM_ttl,Year_HM_this_school,HM_Highest_Degree_highschool,HM_Highest_Degree_bachelor,HM_Highest_Degree_master,HM_Highest_Degree_doctor,HM_Highest_Degree_professorate,HM_Highest_Degree_other,HM_Teacher_Title__1,HM_Teacher_Title__2,HM_Teacher_Title__3,HM_Degree_Teacher__1,HM_Degree_Teacher__2,HM_Degree_Teacher__3,HM_Degree_Teacher__4,HM_Degree_Teacher__5,HM_Degree_Teacher__6,HM_Degree_Teacher__7,HM_Degree_Teacher__8,Number_G7_Students_AM_r,Number_G7_Students_PM_r,Number_total_Students,School_Facility__1,School_Facility__2,School_Facility__3,School_Facility__4,School_Facility__5,School_Facility__6,School_Facility__7,School_Facility__8,Internet_Place__3,Meal_Provision,Donor_Project,Donor_Project__2,Donor_Project__3,Donor_Project__4,Donor_Project__5,Donor_Project__6,Donor_Project__7,Donor_Project__8,Donor_Project__9,Donor_Project__10,Donor_Project__11,Donor_Project__12,Donor_Project__13,Donor_Project__14,Donor_Project__15,Donor_Project__16,Donor_Project__17,Donor_Project__18,Donor_Project__19,Donor_Project__20,Difficult_teach_e__1,Difficult_teach_e__2,Difficult_teach_e__3,Difficult_teach_e__4,Difficult_teach_e__5,Difficult_teach_e__6,Suggestion_to_Teachr__1,Suggestion_to_Teachr__2,Suggestion_to_Teachr__3,Suggestion_to_Teachr__4,Suggestion_to_Teachr__5,Suggestion_to_Teachr__6,RP_e,RP_Frequency,RP_Participant_schls__1,RP_Participant_schls__2,RP_Participant_schls__3,RP_Participant_schls__4,RP_Theme_test_e,RP_Theme_test_cmpr_e,RP_Theme_test_rvw_e,Meeting_Parents_Association,Vice_Headmaster,Number_of_Teachers,Observe_Lesson,Observe_Lesson_G7_e,same_HM_YorN_f,timing_end,timing_fus,treatment_d,treatment_2018,treatment_2019
CABANAS,Rural,Control,1197830,0,49,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,18,177,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,1,1,1,0,1,1,1,1,1,6,1,1,1,0,1,0,0,0
CABANAS,Rural,Treatment,1090575,0,43,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18,118,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,2,1,0,0,0,1,2,1,1,0,7,1,1,1,1,0,1,1,0
CABANAS,Rural,Treatment,1090575,0,43,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18,118,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,2,1,1,0,0,1,2,1,1,0,7,1,1,1,0,1,1,0,1
CABANAS,Rural,Treatment,1102632,0,32,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,15,0,130,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,2,0,1,0,0,1,2,1,1,2,9,1,1,1,0,1,1,0,1
CABANAS,Rural,Treatment,1102632,0,32,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,15,0,130,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,1,1,2,9,1,1,1,1,0,1,1,0
CABANAS,Rural,Control,1214486,0,37,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,32,23,475,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,1,2,1,1,2,15,1,1,2,1,0,0,0,0
CABANAS,Rural,Control,1214486,1,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,32,23,475,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,2,0,1,0,0,1,2,1,1,2,15,1,1,2,0,1,0,0,0
CABANAS,Rural,Treatment,1095230,1,49,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,33,303,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,2,1,0,1,0,1,1,1,1,2,15,1,1,1,0,1,1,0,1
CABANAS,Rural,Treatment,1095230,1,49,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,33,303,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,2,1,0,0,0,1,2,1,1,2,15,1,1,1,1,0,1,1,0
CABANAS,Rural,Control,1202569,1,41,10,7,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,36,195,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,1,1,1,0,8,1,1,1,0,1,0,0,0
CABANAS,Rural,Control,1202569,1,41,10,7,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,36,195,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,1,0,0,0,1,2,1,1,0,8,1,1,1,1,0,0,0,0
CABANAS,Rural,Control,1212948,0,52,9,8,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,38,252,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,2,0,1,0,0,1,2,1,1,1,10,1,1,1,0,1,0,0,0
CABANAS,Rural,Control,1212948,0,52,9,8,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,38,252,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,1,1,1,1,1,10,1,1,1,1,0,0,0,0
CABANAS,Rural,Treatment,1103261,0,38,4,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,23,215,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,1,0,0,2,NA,NA,1,1,13,1,1,1,1,0,1,1,0
CABANAS,Rural,Treatment,1103261,0,38,4,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,23,215,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,2,0,1,0,0,1,1,1,1,1,13,1,1,1,0,1,1,0,1
CABANAS,Rural,Treatment,1097477,0,43,12,8,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,35,196,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,2,0,1,0,0,1,1,1,1,1,6,1,1,1,0,1,1,0,1
CABANAS,Rural,Treatment,1097477,0,43,12,8,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,35,196,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2,1,1,0,0,1,2,1,1,1,6,1,1,1,1,0,1,1,0
CABANAS,Rural,Control,1212338,1,52,6,6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,37,0,293,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,2,1,0,0,0,1,2,1,1,2,11,1,1,1,1,0,0,0,0
CABANAS,Rural,Control,1212338,1,52,6,6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,37,0,293,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,2,11,1,1,1,0,1,0,0,0
CABANAS,Rural,Treatment,1104714,0,50,7,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,25,212,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,2,0,1,0,0,1,1,1,1,2,4,1,1,1,0,1,1,0,1
CABANAS,Rural,Treatment,1104714,0,50,7,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,25,212,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,2,1,0,1,0,1,1,1,1,2,4,1,1,1,1,0,1,1,0
CABANAS,Urbana,Treatment,1088036,0,56,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,74,24,709,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,1,0,0,1,1,1,1,2,32,1,1,1,0,1,1,0,1
CABANAS,Urbana,Treatment,1088036,0,56,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,74,24,709,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,1,1,2,1,1,2,32,1,1,1,1,0,1,1,0
CABANAS,Urbana,Treatment,1087690,0,53,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,77,41,994,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,1,1,1,2,28,1,1,1,0,1,1,0,1
CABANAS,Urbana,Treatment,1087690,0,53,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,77,41,994,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1,0,0,1,1,1,1,2,28,1,1,1,1,0,1,1,0
CABANAS,Rural,Treatment,1096763,0,36,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,25,181,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,2,1,1,2,7,1,1,1,1,0,1,1,0
CABANAS,Rural,Treatment,1096763,0,36,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,25,181,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,2,1,1,2,7,1,1,1,0,1,1,0,1
CABANAS,Rural,Treatment,1102893,0,34,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,27,209,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,1,1,0,1,1,1,1,1,7,1,1,1,0,1,1,0,1
CABANAS,Rural,Treatment,1102893,0,34,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,27,209,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,1,0,0,1,1,1,1,1,7,1,1,1,1,0,1,1,0
CABANAS,Rural,Treatment,1100993,1,38,3,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,32,188,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,0,1,0,0,1,1,1,1,1,9,1,1,2,0,1,1,0,1
CABANAS,Rural,Treatment,1100993,1,32,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,32,188,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,2,1,0,0,0,1,2,2,1,1,9,1,1,2,1,0,1,1,0
CABANAS,Urbana,Treatment,1093996,0,34,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,24,0,224,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,1,1,1,1,1,11,1,1,2,1,0,1,1,0
CABANAS,Urbana,Treatment,1093996,0,44,10,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,24,0,224,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,1,0,1,1,1,1,1,11,1,1,2,0,1,1,0,1
CABANAS,Urbana,Control,1194716,1,53,9,8,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,48,0,391,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,2,0,1,0,0,1,2,2,1,1,17,1,1,1,0,1,0,0,0
CABANAS,Urbana,Control,1194716,1,53,9,8,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,48,0,391,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,2,1,0,0,0,2,NA,NA,1,1,17,1,1,1,1,0,0,0,0
CABANAS,Urbana,Control,1197843,0,48,3,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,31,0,270,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,1,2,1,1,1,10,2,1,2,1,0,0,0,0
CABANAS,Urbana,Control,1197843,1,39,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,270,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,2,1,1,1,10,1,1,2,0,1,0,0,0
CABANAS,Rural,Treatment,1110899,0,37,4,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,59,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,1,1,1,1,2,1,1,1,0,1,1,0,1
CABANAS,Rural,Treatment,1110899,0,37,4,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,59,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,1,0,0,1,2,2,1,1,2,1,1,1,1,0,1,1,0
CABANAS,Rural,Control,1215690,0,50,14,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,89,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,1,1,1,1,1,5,1,1,1,0,1,0,0,0
CABANAS,Rural,Control,1215690,0,50,14,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,89,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,1,2,2,1,1,5,1,1,1,1,0,0,0,0
CABANAS,Urbana,Control,1207579,1,54,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,130,34,1008,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,2,1,2,48,2,1,2,0,1,0,0,0
CABANAS,Urbana,Control,1207579,1,62,23,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130,34,1008,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,2,0,1,0,0,1,2,1,1,2,48,1,1,2,1,0,0,0,0
CABANAS,Urbana,Treatment,1099194,0,51,12,12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,60,39,613,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,1,1,1,1,1,20,2,1,2,1,0,1,1,0
CABANAS,Urbana,Treatment,1099194,0,32,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,60,39,613,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,2,0,1,0,0,1,1,1,1,1,20,1,1,2,0,1,1,0,1
CABANAS,Urbana,Control,1206477,0,46,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,54,17,445,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,2,1,0,0,0,1,1,1,1,2,16,1,1,1,1,0,0,0,0
CABANAS,Urbana,Control,1206477,0,46,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,54,17,445,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,2,0,1,0,0,1,1,1,1,2,16,1,1,1,0,1,0,0,0
CABANAS,Urbana,Treatment,1099732,0,38,2,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,49,0,476,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,2,1,0,0,0,1,1,1,1,1,15,1,1,1,1,0,1,1,0
CABANAS,Urbana,Treatment,1099732,0,38,2,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,49,0,476,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,1,1,1,15,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Treatment,585449,1,47,9,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,14,79,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,2,1,1,0,0,1,1,1,1,1,4,1,1,1,1,0,1,1,0
SAN VICENTE,Rural,Treatment,585449,1,47,9,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,14,79,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1,1,1,1,4,1,1,1,0,1,1,0,1
SAN VICENTE,Rural,Control,612836,1,42,8,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,24,171,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,1,1,1,2,11,2,2,2,0,1,0,0,0
