ID_IE,department,urban.rural,treatment,Ttl_teaching_periods,Teaching_Grade,Work_Shift_G7,Multigrade_G7,Teaching_other_subject_G7,Year_Start_teach,Year_Start_this_school,Teachr_Qualification__1,Teachr_Qualification__2,Teachr_Qualification__3,Teachr_Qualification__4,Teachr_Qualification__5,Teachr_Qualification__6,Teachr_Qualification__7,Teachr_Qualification__8,Teachr_Apontmt_Post__1,Teachr_Apontmt_Post__2,Teachr_Apontmt_Post__3,Teachr_Apontmt_Post__4,Inductive_Training,Classroom_Situation__1,Classroom_Situation__2,Classroom_Situation__3,Classroom_Situation__4,No_Students_F_G7,No_Students_M_G7,No_Students_Ttl_G7,Grade,No_Students_Female,No_Students_Male,Total_No_Students,treatment_d,Teacher_Sex,Highest_Degree_highschool,Highest_Degree_professorate,Highest_Degree_bachelor,Highest_Degree_master,Highest_Degree_doctor,Work_Shift_G7_morning,Work_Shift_G7_afternoon,Work_Shift_G7_both,Year_Start_teach_r,Teacher_Age
1215690,CABANAS,Rural,Control,25,0,2,2,0,2008,2013,0,1,1,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,4,5,7,1,4,5,0,0,0,0,1,0,0,0,1,0,11,33
1207579,CABANAS,Urbana,Control,5,0,1,2,0,2002,2012,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,15,19,34,7,15,17,32,0,1,0,1,0,0,0,1,0,0,17,39
1099194,CABANAS,Urbana,Treatment,25,0,3,2,0,2007,2012,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,14,18,32,7,18,14,32,1,0,0,0,1,0,0,0,0,1,12,33
1206477,CABANAS,Urbana,Control,23,0,1,2,0,2009,2009,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,1,0,12,16,28,7,11,16,27,0,1,0,0,1,0,0,1,0,0,10,33
1099732,CABANAS,Urbana,Treatment,25,0,1,2,0,2008,2009,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,15,14,29,7,15,14,29,1,0,0,0,1,0,0,1,0,0,11,31
585449,SAN VICENTE,Rural,Treatment,15,0,2,2,0,1995,2001,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,7,7,14,7,7,5,12,1,1,0,1,0,0,0,0,1,0,24,48
612836,SAN VICENTE,Rural,Control,25,0,2,2,0,2005,2017,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,7,6,13,7,6,7,13,0,1,0,0,1,0,0,0,1,0,14,37
580537,SAN VICENTE,Rural,Treatment,31,0,2,2,0,1996,2003,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,4,7,11,7,2,6,8,1,1,0,0,1,0,0,0,1,0,23,44
611414,SAN VICENTE,Rural,Control,5,0,2,2,0,2013,2013,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,1,1,8,14,22,7,7,13,20,0,0,0,0,1,0,0,0,1,0,6,25
609046,SAN VICENTE,Rural,Control,25,0,2,2,0,2007,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,15,8,23,7,10,4,14,0,1,0,1,0,0,0,0,1,0,12,41
605602,SAN VICENTE,Urbana,Control,5,0,1,2,0,1978,1981,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,19,9,28,7,19,9,28,0,1,1,0,0,0,0,1,0,0,41,57
583941,SAN VICENTE,Rural,Treatment,50,0,1,2,1,1992,1992,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,13,18,31,7,12,15,27,1,0,1,0,0,0,0,1,0,0,27,49
615170,SAN VICENTE,Rural,Control,25,0,3,2,0,2015,2015,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,9,3,12,7,9,3,12,0,1,0,1,0,0,0,0,0,1,4,33
607389,SAN VICENTE,Urbana,Control,25,0,1,2,0,2003,2005,0,1,1,0,0,0,0,0,0,1,0,0,2,1,1,1,1,18,20,38,7,18,19,37,0,0,0,0,1,0,0,1,0,0,16,37
579464,SAN VICENTE,Urbana,Treatment,5,0,1,2,1,1997,2001,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,17,9,26,7,17,8,25,1,1,0,1,0,0,0,1,0,0,22,50
