department,urban.rural,treatment,ID_IE,year_survey,month_survey,Sex,Age,Year_HM_ttl,Year_HM_this_school,Highest_Degree,Highest_Degree_other,Degree_Teacher__1,Degree_Teacher__2,Degree_Teacher__3,Degree_Teacher__4,Degree_Teacher__5,Degree_Teacher__6,Degree_Teacher__7,Degree_Teacher__8,Teacher_Title__1,Teacher_Title__2,Teacher_Title__3,Teacher_Title__4,Multi_shift_G1__1,Multi_shift_G1__2,Multi_shift_G2__1,Multi_shift_G2__2,Multi_shift_G3__1,Multi_shift_G3__2,Multi_shift_G4__1,Multi_shift_G4__2,Multi_shift_G5__1,Multi_shift_G5__2,Multi_shift_G6__1,Multi_shift_G6__2,Multi_shift_G7__1,Multi_shift_G7__2,Multi_shift_G8__1,Multi_shift_G8__2,Multi_shift_G9__1,Multi_shift_G9__2,Number_Female_G1_Students_AM,Number_Male_G1_Students_AM,Number_Female_G2_Students_AM,Number_Male_G2_Students_AM,Number_Female_G3_Students_AM,Number_Male_G3_Students_AM,Number_Female_G4_Students_AM,Number_Male_G4_Students_AM,Number_Female_G5_Students_AM,Number_Male_G5_Students_AM,Number_Female_G6_Students_AM,Number_Male_G6_Students_AM,Number_Female_G7_Students_AM,Number_Male_G7_Students_AM,Number_Female_G8_Students_AM,Number_Male_G8_Students_AM,Number_Female_G9_Students_AM,Number_Male_G9_Students_AM,Number_Female_G1_Students_PM,Number_Male_G1_Students_PM,Number_Female_G2_Students_PM,Number_Male_G2_Students_PM,Number_Female_G3_Students_PM,Number_Male_G3_Students_PM,Number_Female_G4_Students_PM,Number_Male_G4_Students_PM,Number_Female_G5_Students_PM,Number_Male_G5_Students_PM,Number_Female_G6_Students_PM,Number_Male_G6_Students_PM,Number_Female_G7_Students_PM,Number_Male_G7_Students_PM,Number_Female_G8_Students_PM,Number_Male_G8_Students_PM,Number_Female_G9_Students_PM,Number_Male_G9_Students_PM,Number_of_Teachers,Vice_Headmaster,Multi_section_G2__1,Multi_section_G2__2,Multi_section_G7__1,Multi_section_G7__2,Enrol_Female_G1_AM,Enrol_Male_G1_AM,Enrol_Female_G2_AM,Enrol_Male_G2_AM,Enrol_Female_G3_AM,Enrol_Male_G3_AM,Enrol_Female_G7_AM,Enrol_Male_G7_AM,Enrol_Female_G8_AM,Enrol_Male_G8_AM,Enrol_Female_G9_AM,Enrol_Male_G9_AM,Enrol_Female_G1_PM,Enrol_Male_G1_PM,Enrol_Female_G2_PM,Enrol_Male_G2_PM,Enrol_Female_G3_PM,Enrol_Male_G3_PM,Enrol_Female_G7_PM,Enrol_Male_G7_PM,Enrol_Female_G8_PM,Enrol_Male_G8_PM,Enrol_Female_G9_PM,Enrol_Male_G9_PM,Dropout_Female_G1_AM,Dropout_Male_G1_AM,Dropout_Female_G2_AM,Dropout_Male_G2_AM,Dropout_Female_G3_AM,Dropout_Male_G3_AM,Dropout_Female_G7_AM,Dropout_Male_G7_AM,Dropout_Female_G8_AM,Dropout_Male_G8_AM,Dropout_Female_G9_AM,Dropout_Male_G9_AM,Dropout_Female_G1_PM,Dropout_Male_G1_PM,Dropout_Female_G2_PM,Dropout_Male_G2_PM,Dropout_Female_G3_PM,Dropout_Male_G3_PM,Dropout_Female_G7_PM,Dropout_Male_G7_PM,Dropout_Female_G8_PM,Dropout_Male_G8_PM,Dropout_Female_G9_PM,Dropout_Male_G9_PM,Transfer_Female_G1_AM,Transfer_Male_G1_AM,Transfer_Female_G2_AM,Transfer_Male_G2_AM,Transfer_Female_G3_AM,Transfer_Male_G3_AM,Transfer_Female_G7_AM,Transfer_Male_G7_AM,Transfer_Female_G8_AM,Transfer_Male_G8_AM,Transfer_Female_G9_AM,Transfer_Male_G9_AM,Transfer_Female_G1_PM,Transfer_Male_G1_PM,Transfer_Female_G2_PM,Transfer_Male_G2_PM,Transfer_Female_G3_PM,Transfer_Male_G3_PM,Transfer_Female_G7_PM,Transfer_Male_G7_PM,Transfer_Female_G8_PM,Transfer_Male_G8_PM,Transfer_Female_G9_PM,Transfer_Male_G9_PM,Repeat_Female_G1_AM,Repeat_Male_G1_AM,Repeat_Female_G2_AM,Repeat_Male_G2_AM,Repeat_Female_G3_AM,Repeat_Male_G3_AM,Repeat_Female_G7_AM,Repeat_Male_G7_AM,Repeat_Female_G8_AM,Repeat_Male_G8_AM,Repeat_Female_G9_AM,Repeat_Male_G9_AM,Repeat_Female_G1_PM,Repeat_Male_G1_PM,Repeat_Female_G2_PM,Repeat_Male_G2_PM,Repeat_Female_G3_PM,Repeat_Male_G3_PM,Repeat_Female_G7_PM,Repeat_Male_G7_PM,Repeat_Female_G8_PM,Repeat_Male_G8_PM,Repeat_Female_G9_PM,Repeat_Male_G9_PM,School_Facility__1,School_Facility__2,School_Facility__3,School_Facility__4,School_Facility__5,School_Facility__6,School_Facility__7,School_Facility__8,Internet_Place__1,Internet_Place__2,Internet_Place__3,Internet_Place__4,Meal_Provision,Supplement_Class,Donor_Project__1,Donor_Project__2,Donor_Project__3,Donor_Project__4,Donor_Project__5,Donor_Project__6,Donor_Project__7,Donor_Project__8,Donor_Project__9,Donor_Project__10,Donor_Project__11,Donor_Project__12,Donor_Project__13,Donor_Project__14,Donor_Project__15,Donor_Project__16,Donor_Project__17,Donor_Project__18,Donor_Project__19,Donor_Project__20,treatment_d,Highest_Degree_highschool,Highest_Degree_bachelor,Highest_Degree_master,Highest_Degree_doctor,Highest_Degree_professorate,Number_G1_Students_AM,Number_G2_Students_AM,Number_G3_Students_AM,Number_G4_Students_AM,Number_G5_Students_AM,Number_G6_Students_AM,Number_G7_Students_AM,Number_G8_Students_AM,Number_G9_Students_AM,Number_G1_Students_PM,Number_G2_Students_PM,Number_G3_Students_PM,Number_G4_Students_PM,Number_G5_Students_PM,Number_G6_Students_PM,Number_G7_Students_PM,Number_G8_Students_PM,Number_G9_Students_PM,Number_G1_Students_AM_r,Number_G2_Students_AM_r,Number_G3_Students_AM_r,Number_G4_Students_AM_r,Number_G5_Students_AM_r,Number_G6_Students_AM_r,Number_G7_Students_AM_r,Number_G8_Students_AM_r,Number_G9_Students_AM_r,Number_G1_Students_PM_r,Number_G2_Students_PM_r,Number_G3_Students_PM_r,Number_G4_Students_PM_r,Number_G5_Students_PM_r,Number_G6_Students_PM_r,Number_G7_Students_PM_r,Number_G8_Students_PM_r,Number_G9_Students_PM_r,Number_total_Students,repeat_rate_g2_am,repeat_rate_g7_am,repeat_rate_g2_pm,repeat_rate_g7_pm,drop_out_rate_g2_am,drop_out_rate_g7_am,drop_out_rate_g2_pm,drop_out_rate_g7_pm,Donor_Project
CABANAS,Rural,Control,1202569,2018,2,1,41,10,7,2,,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,7,3,7,9,9,11,8,10,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,15,21,16,15,9,11,8,0,0,0,0,0,7,3,7,9,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,15,15,16,9,11,0,1,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,4,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,0,1,0,1,1,NA,NA,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,16,20,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,36,31,20,10,16,20,18,21,0,0,0,0,0,0,0,0,0,23,36,31,20,195,0,NA,NA,0,0,NA,NA,0.055555556,1
CABANAS,Rural,Control,1212948,2018,1,0,52,9,8,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,14,14,17,16,19,14,14,7,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,13,24,14,15,12,15,6,10,1,0,0,0,0,13,14,7,16,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,16,10,12,15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,1,NA,NA,NA,NA,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,28,33,33,21,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,38,27,21,28,33,33,21,27,0,0,0,0,0,0,0,0,0,24,38,27,21,252,0,NA,NA,0,0,NA,NA,0,1
CABANAS,Rural,Treatment,1103261,2018,1,0,38,4,3,2,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,10,11,12,12,14,13,13,11,10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,14,14,9,12,13,8,15,13,1,0,0,0,0,13,12,14,15,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,6,15,15,8,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,21,24,27,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,23,25,23,21,24,27,24,26,0,0,0,0,0,0,0,0,0,22,23,25,23,215,0.034482759,NA,NA,0.04,0,NA,NA,0.12,1
CABANAS,Rural,Treatment,1097477,2018,2,0,43,12,8,5,,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,10,9,12,5,13,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,15,7,13,20,15,9,10,14,13,6,1,0,0,0,0,11,5,15,7,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,15,14,9,6,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,1,0,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,0,1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,19,17,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,20,35,19,27,19,17,21,14,0,0,0,0,0,0,0,0,0,24,20,35,19,27,196,0.045454545,NA,NA,0,0.181818182,NA,NA,0.148148148,1
CABANAS,Rural,Control,1212338,2018,1,1,52,6,6,2,,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,12,19,8,12,13,11,12,11,10,22,19,10,21,16,13,21,16,6,NA,NA,NA,NA,7,7,NA,NA,NA,NA,5,11,NA,NA,NA,NA,2,9,11,2,0,0,0,0,8,12,15,9,11,12,11,17,19,7,15,15,NA,NA,NA,NA,7,8,NA,NA,NA,NA,7,12,0,2,1,0,0,2,0,2,1,2,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,3,0,1,1,0,0,2,0,2,1,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,31,20,24,23,32,29,37,34,22,NA,NA,14,NA,NA,16,NA,NA,11,31,20,24,23,32,29,37,34,22,0,0,14,0,0,16,0,0,11,293,0,0,NA,NA,0.041666667,0.071428571,NA,NA,1
CABANAS,Rural,Treatment,1104714,2018,1,0,50,7,7,5,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,10,17,14,12,10,16,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10,9,12,12,13,14,7,11,7,4,2,0,0,0,0,14,12,11,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,17,11,10,10,8,0,0,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,1,2,1,1,0,0,3,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,0,0,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,27,26,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,21,25,21,18,27,26,26,23,0,0,0,0,0,0,0,0,0,25,21,25,21,18,212,0.041666667,NA,NA,0.161290323,0.166666667,NA,NA,0.290322581,1
CABANAS,Urbana,Treatment,1088036,2018,2,0,56,0,0,1,,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,24,22,26,31,26,22,39,26,25,29,32,32,42,35,40,30,16,7,14,3,9,6,9,5,9,10,15,10,15,9,15,8,23,8,9,32,2,1,0,1,0,22,28,25,38,21,40,38,48,31,24,39,24,4,9,7,8,7,9,7,21,11,9,12,12,4,8,0,6,0,3,1,5,2,0,1,1,1,6,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,52,48,57,61,51,61,74,75,46,21,12,15,14,25,25,24,31,17,52,48,57,61,51,61,74,75,46,21,12,15,14,25,25,24,31,17,709,0,0.081395349,0,0,0.095238095,0.069767442,0.2,0.071428571,1
CABANAS,Urbana,Treatment,1087690,2018,2,0,53,1,1,2,,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52,38,44,22,49,35,30,32,43,29,31,38,40,37,23,17,25,16,29,21,22,17,34,12,21,11,28,24,17,16,27,14,23,16,35,26,28,2,1,1,1,0,50,25,42,21,47,35,38,17,23,15,25,15,25,20,20,17,33,11,25,13,22,15,34,23,5,4,2,2,1,1,3,0,0,3,1,3,6,2,2,3,2,1,5,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,90,66,84,62,72,69,77,40,41,50,39,46,32,52,33,41,39,61,90,66,84,62,72,69,77,40,41,50,39,46,32,52,33,41,39,61,994,0,0,0,0.131578947,0.063492063,0.054545455,0.135135135,0.157894737,1
CABANAS,Rural,Treatment,1096763,2018,2,0,36,0,0,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,9,9,11,10,4,14,10,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,13,12,12,10,11,6,7,2,0,0,0,0,11,7,14,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,16,9,8,4,8,2,2,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,4,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18,21,18,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,25,22,17,18,21,18,19,18,0,0,0,0,0,0,0,0,0,23,25,22,17,181,0,NA,NA,0,0.176470588,NA,NA,0.178571429,1
CABANAS,Rural,Treatment,1102893,2018,2,0,34,0,0,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,16,13,10,13,13,10,8,13,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,11,16,10,12,9,9,7,1,0,0,0,0,9,14,13,10,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,9,15,11,8,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,5,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,29,23,23,21,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,27,22,18,29,23,23,21,24,0,0,0,0,0,0,0,0,0,22,27,22,18,209,0,NA,NA,0,0,NA,NA,0.16,1
CABANAS,Rural,Treatment,1100993,2018,2,1,32,2,2,2,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,14,10,12,8,10,5,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,13,11,13,19,10,12,4,14,9,1,0,0,0,0,11,14,12,3,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,5,18,13,12,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,0,1,1,1,1,NA,NA,NA,NA,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,24,20,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,24,32,22,18,24,20,15,20,0,0,0,0,0,0,0,0,0,13,24,32,22,18,188,0,NA,NA,0,0,NA,NA,0,1
CABANAS,Urbana,Treatment,1093996,2018,1,0,34,1,1,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10,10,11,8,15,7,16,6,17,10,8,12,14,10,23,11,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,0,0,0,0,7,12,6,14,9,17,12,12,18,12,17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,2,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,20,19,22,22,27,20,24,34,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,19,22,22,27,20,24,34,36,0,0,0,0,0,0,0,0,0,224,0,0.125,NA,NA,0,0,NA,NA,1
CABANAS,Urbana,Control,1194716,2018,1,1,53,9,8,5,,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,11,6,14,14,13,28,22,10,12,19,17,24,24,13,18,23,21,14,13,10,12,0,0,0,0,7,10,9,10,0,0,0,0,0,0,17,1,0,0,0,0,11,15,19,14,16,24,15,19,26,24,22,8,12,14,0,0,0,0,0,0,0,0,0,0,1,2,1,5,1,1,2,1,3,3,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,28,20,27,50,22,36,48,31,44,27,22,0,0,17,19,0,0,0,28,20,27,50,22,36,48,31,44,27,22,0,0,17,19,0,0,0,391,0.03030303,0.088235294,NA,NA,0.181818182,0.088235294,NA,NA,1
CABANAS,Urbana,Control,1197843,2018,2,0,48,3,3,2,,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10,18,11,14,16,14,10,19,16,16,15,12,16,15,14,25,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,0,0,0,9,16,14,11,10,14,25,16,9,21,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,3,0,0,4,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,2,2,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,28,25,30,29,32,27,31,39,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,25,30,29,32,27,31,39,29,0,0,0,0,0,0,0,0,0,270,0.04,0.097560976,NA,NA,0,0.097560976,NA,NA,1
CABANAS,Rural,Treatment,1110899,2018,1,0,37,4,2,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,3,2,1,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,4,1,0,3,3,2,1,8,3,4,2,1,0,0,0,0,1,5,3,5,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,3,4,1,7,0,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5,3,5,9,7,5,5,8,0,0,0,0,0,0,0,0,0,12,5,3,5,9,7,59,0,NA,NA,0,0.125,NA,NA,0.111111111,0
CABANAS,Rural,Control,1215690,2018,2,0,50,14,5,5,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,7,7,8,7,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,7,8,NA,NA,5,7,1,6,3,1,2,2,5,1,0,0,0,0,7,7,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,1,6,3,1,2,2,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,14,15,NA,NA,10,NA,NA,NA,NA,NA,NA,8,15,NA,12,7,4,4,14,15,0,0,10,0,0,0,0,0,0,8,15,0,12,7,4,4,89,0,NA,NA,0,0.133333333,NA,NA,0.142857143,1
CABANAS,Urbana,Control,1207579,2018,1,1,62,23,15,2,,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,47,28,39,30,35,38,53,18,36,38,60,72,58,57,48,49,55,9,19,16,15,12,10,9,13,8,8,16,10,19,15,16,10,8,10,48,2,1,0,1,0,30,48,31,36,40,51,68,52,59,58,44,64,16,13,11,10,8,11,12,9,7,11,13,11,1,3,1,1,1,1,9,9,8,9,4,10,0,2,0,0,0,0,2,3,1,1,1,2,1,2,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,4,2,6,1,1,0,1,0,3,0,0,0,0,0,2,0,3,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,71,67,65,91,54,98,130,105,104,28,31,22,22,16,26,34,26,18,71,67,65,91,54,98,130,105,104,28,31,22,22,16,26,34,26,18,1008,0.014925373,0.066666667,0,0.095238095,0.029850746,0.15,0,0.238095238,1
